emailid,password,firstname,lastname,displayname,oppassword,company,department,role,skilltags
sandeep.sarpe+1@gmail.com,opensilo,OpensilOUserfAutoA,OpensilOUserlAutoA,OpensilOAutoUser1,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+2@gmail.com,opensilo,OpensilOUserfAutoB,OpensilOUserlAutoB,OpensilOAutoUser2,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+3@gmail.com,opensilo,OpensilOUserfAutoC,OpensilOUserlAutoC,OpensilOAutoUser3,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+4@gmail.com,opensilo,OpensilOUserfAutoD,OpensilOUserlAutoD,OpensilOAutoUser4,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+5@gmail.com,opensilo,OpensilOUserfAutoE,OpensilOUserlAutoE,OpensilOAutoUser5,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+6@gmail.com,opensilo,OpensilOUserfAutoF,OpensilOUserlAutoF,OpensilOAutoUser6,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+7@gmail.com,opensilo,OpensilOUserfAutoG,OpensilOUserlAutoG,OpensilOAutoUser7,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+8@gmail.com,opensilo,OpensilOUserfAutoH,OpensilOUserlAutoH,OpensilOAutoUser8,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+9@gmail.com,opensilo,OpensilOUserfAutoI,OpensilOUserlAutoI,OpensilOAutoUser9,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+10@gmail.com,opensilo,OpensilOUserfAutoJ,OpensilOUserlAutoJ,OpensilOAutoUser10,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+11@gmail.com,opensilo,OpensilOUserfAutoK,OpensilOUserlAutoK,OpensilOAutoUser11,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+12@gmail.com,opensilo,OpensilOUserfAutoL,OpensilOUserlAutoL,OpensilOAutoUser12,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+13@gmail.com,opensilo,OpensilOUserfAutoM,OpensilOUserlAutoM,OpensilOAutoUser13,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+14@gmail.com,opensilo,OpensilOUserfAutoN,OpensilOUserlAutoN,OpensilOAutoUser14,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+15@gmail.com,opensilo,OpensilOUserfAutoO,OpensilOUserlAutoO,OpensilOAutoUser15,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+16@gmail.com,opensilo,OpensilOUserfAutoP,OpensilOUserlAutoP,OpensilOAutoUser16,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+17@gmail.com,opensilo,OpensilOUserfAutoQ,OpensilOUserlAutoQ,OpensilOAutoUser17,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+18@gmail.com,opensilo,OpensilOUserfAutoR,OpensilOUserlAutoR,OpensilOAutoUser18,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+19@gmail.com,opensilo,OpensilOUserfAutoS,OpensilOUserlAutoS,OpensilOAutoUser19,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+20@gmail.com,opensilo,OpensilOUserfAutoT,OpensilOUserlAutoT,OpensilOAutoUser20,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+21@gmail.com,opensilo,OpensilOUserfAutoU,OpensilOUserlAutoU,OpensilOAutoUser21,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+22@gmail.com,opensilo,OpensilOUserfAutoV,OpensilOUserlAutoV,OpensilOAutoUser22,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+23@gmail.com,opensilo,OpensilOUserfAutoW,OpensilOUserlAutoW,OpensilOAutoUser23,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+24@gmail.com,opensilo,OpensilOUserfAutoX,OpensilOUserlAutoX,OpensilOAutoUser24,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+25@gmail.com,opensilo,OpensilOUserfAutoY,OpensilOUserlAutoY,OpensilOAutoUser25,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+26@gmail.com,opensilo,OpensilOUserfAutoZ,OpensilOUserlAutoZ,OpensilOAutoUser26,opensilo,Synerzip,QA,Sr QA,selenium
sandeep.sarpe+27@gmail.com,opensilo,OpensilOUserfAutoAA,OpensilOUserlAutoAA,OpensilOAutoUser27,opensilo,Synerzip,QA,Sr QA,selenium
